ID,NAME,NAME_1,NAME_2
1,Allah [swt] said,Allah [swt],NULL
2,The Holy Prophet [s] said,Hazrat Muhammad Mustafa [s],The Holy Prophet
3,Imam Amir-ul-Mu'mineen Ali [a] said,Imam Ali ibn Abu Talib [a],Amir-ul-Mumineen
4,Hazat Fatemah Zahra [s] said,Hazrat Fatimah bint Muhammad [s],Az-Zahra
5,Imam Hasan ibn Ali [a] said,Imam Hasan ibn Ali [a],Al-Mujtaba
6,Imam Husayn ibn Ali [a] said,Imam Husayn ibn Ali [a],Sayyidu'sh-Shuhada
7,Imam Ali ibn Husayn [a] said,Imam Ali ibn Husayn [a],Zaynu'l-Abidin
8,Imam Baqir [a] said,Imam Muhammad ibn Ali [a],Al-Baqir
9,Imam Sadiq (as.) said,Imam Jafar ibn Muhammad [a],As-Sadiq
10,Imam Kadhim [a] said,Imam Musa Ibn Jafar (Al-Kadhim) [a],Al-Kadhim
11,Imam Ali ibn Musa al-Rida [a] said,Imam Ali ibn Musa [a],Al-Ridha
12,Imam Muhammad Taqi [a] said,Imam Muhammad ibn Ali [a],"Al-Taqi, Al-Jawad"
13,Imam Ali Naqi [a] said,Imam Ali ibn Muhammad [a],"Al-Naqi, Al-Hadi"
14,Imam Hasan Askari [a] said,Imam Hasan ibn Ali [a],Al-Askari
15,Imam Mahdi [a] said,Imam Muhammad ibn Hasan [a],Al-Mahdi Sahibuz Zaman
16,Ibne Abbas (r.a.),Other Narrators,Miscellaneous
17,Hazrat Luqman (AS),Hazrat Luqman (AS),Hazrat Luqman (AS)
